VCD info: dumpfile waves/dump.vcd opened for output.
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
en = 1 | areset_n = 1 | out = 1001
en = 1 | areset_n = 1 | out = 1000
tb/tb_mod_10.v:45: $finish called at 340000 (1ps)
