VCD info: dumpfile waves/dump.vcd opened for output.
en = 1 | areset_n = 1 | out = 0
en = 1 | areset_n = 1 | out = 1
en = 1 | areset_n = 1 | out = 2
en = 1 | areset_n = 1 | out = 3
en = 1 | areset_n = 1 | out = 4
en = 1 | areset_n = 1 | out = 5
en = 1 | areset_n = 1 | out = 0
en = 1 | areset_n = 1 | out = 1
en = 1 | areset_n = 1 | out = 2
en = 1 | areset_n = 1 | out = 3
en = 1 | areset_n = 1 | out = 4
en = 1 | areset_n = 1 | out = 5
en = 1 | areset_n = 1 | out = 0
en = 1 | areset_n = 1 | out = 1
en = 1 | areset_n = 1 | out = 2
en = 1 | areset_n = 1 | out = 3
en = 1 | areset_n = 1 | out = 4
en = 1 | areset_n = 1 | out = 5
en = 1 | areset_n = 1 | out = 0
en = 1 | areset_n = 1 | out = 1
tb/tb_mod_6.v:44: $finish called at 220000 (1ps)
