VCD info: dumpfile waves/dump.vcd opened for output.
en=0 |areset_n=0 |j=0 |k=0 |q=0 |
en=0 |areset_n=0 |j=0 |k=1 |q=0 |
en=0 |areset_n=0 |j=1 |k=0 |q=0 |
en=0 |areset_n=0 |j=1 |k=1 |q=0 |
en=0 |areset_n=1 |j=0 |k=0 |q=0 |
en=0 |areset_n=1 |j=0 |k=1 |q=0 |
en=0 |areset_n=1 |j=1 |k=0 |q=0 |
en=0 |areset_n=1 |j=1 |k=1 |q=0 |
en=1 |areset_n=0 |j=0 |k=0 |q=0 |
en=1 |areset_n=0 |j=0 |k=1 |q=0 |
en=1 |areset_n=0 |j=1 |k=0 |q=0 |
en=1 |areset_n=0 |j=1 |k=1 |q=0 |
en=1 |areset_n=1 |j=0 |k=0 |q=0 |
en=1 |areset_n=1 |j=0 |k=1 |q=0 |
en=1 |areset_n=1 |j=1 |k=0 |q=1 |
en=1 |areset_n=1 |j=1 |k=1 |q=1 |
en=0 |areset_n=0 |j=0 |k=0 |q=0 |
en=0 |areset_n=0 |j=0 |k=1 |q=0 |
en=0 |areset_n=0 |j=1 |k=0 |q=0 |
en=0 |areset_n=0 |j=1 |k=1 |q=0 |
en=0 |areset_n=1 |j=0 |k=0 |q=0 |
en=0 |areset_n=1 |j=0 |k=1 |q=0 |
en=0 |areset_n=1 |j=1 |k=0 |q=0 |
en=0 |areset_n=1 |j=1 |k=1 |q=0 |
en=1 |areset_n=0 |j=0 |k=0 |q=0 |
en=1 |areset_n=0 |j=0 |k=1 |q=0 |
en=1 |areset_n=0 |j=1 |k=0 |q=0 |
en=1 |areset_n=0 |j=1 |k=1 |q=0 |
en=1 |areset_n=1 |j=0 |k=0 |q=0 |
en=1 |areset_n=1 |j=0 |k=1 |q=0 |
en=1 |areset_n=1 |j=1 |k=0 |q=1 |
en=1 |areset_n=1 |j=1 |k=1 |q=1 |
tb/tb_JK.v:54: $finish called at 1285000 (1ps)
